Year,EL: Greece,DK: Denmark,GDP Difference,Greece_diff,Denmark_diff,Greece_pop,Denmark_pop,Greece_pop_diff,Denmark_pop_diff
1995,14290,39110,-24820,,,10562153.0,5233373.0,,
1996,14430,39990,-25560,140.0,880.0,10608800.0,5263074.0,46647.0,29701.0
1997,14870,41080,-26210,440.0,1090.0,10661259.0,5284991.0,52459.0,21917.0
1998,15300,41900,-26600,430.0,820.0,10720509.0,5304219.0,59250.0,19228.0
1999,15650,43000,-27350,350.0,1100.0,10761698.0,5321799.0,41189.0,17580.0
2000,16230,44450,-28220,580.0,1450.0,10805808.0,5339616.0,44110.0,17817.0
2001,16890,44710,-27820,660.0,260.0,10862132.0,5358783.0,56324.0,19167.0
2002,17620,44770,-27150,730.0,60.0,10902022.0,5375931.0,39890.0,17148.0
2003,18600,44850,-26250,980.0,80.0,10928070.0,5390574.0,26048.0,14643.0
2004,19550,45980,-26430,950.0,1130.0,10955141.0,5404523.0,27071.0,13949.0
2005,19720,46930,-27210,170.0,950.0,10987314.0,5419432.0,32173.0,14909.0
2006,20930,48550,-27620,1210.0,1620.0,11020362.0,5437272.0,33048.0,17840.0
2007,21610,48820,-27210,680.0,270.0,11048473.0,5461438.0,28111.0,24166.0
2008,21560,48330,-26770,-50.0,-490.0,11077841.0,5493621.0,29368.0,32183.0
2009,20620,45680,-25060,-940.0,-2650.0,11107017.0,5523095.0,29176.0,29474.0
2010,19420,46190,-26770,-1200.0,510.0,11121341.0,5547683.0,14324.0,24588.0
2011,17530,46610,-29080,-1890.0,420.0,11104899.0,5570572.0,-16442.0,22889.0
2012,16160,46430,-30270,-1370.0,-180.0,11045011.0,5591572.0,-59888.0,21000.0
2013,15900,46890,-30990,-260.0,460.0,10965211.0,5614932.0,-79800.0,23360.0
2014,16140,47240,-31100,240.0,350.0,10892413.0,5643475.0,-72798.0,28543.0
2015,16210,47900,-31690,70.0,660.0,10820883.0,5683483.0,-71530.0,40008.0
2016,16270,48970,-32700,60.0,1070.0,10775971.0,5728010.0,-44912.0,44527.0
2017,16540,50150,-33610,270.0,1180.0,10754679.0,5764980.0,-21292.0,36970.0
2018,16920,50830,-33910,380.0,680.0,10732882.0,5793636.0,-21797.0,28656.0
2019,17320,51500,-34180,400.0,670.0,10721582.0,5814422.0,-11300.0,20786.0
2020,15760,50470,-34710,-1560.0,-1030.0,10698599.0,5831404.0,-22983.0,16982.0
2021,17220,53970,-36750,1460.0,3500.0,10569207.0,5856733.0,-129392.0,25329.0
2022,18310,54310,-36000,1090.0,340.0,,,,
2023,18800,55280,-36480,490.0,970.0,,,,
